retail,categoria,precio_internet,comentario,rating
linio,belleza,55490.0,            Excelente!          ,5.0
linio,belleza,60990.0,"            Me encanto el estuche, llego muy rapido          ",5.0
linio,belleza,36999.0,            rapido y seguro          ,5.0
linio,belleza,60300.0,            Llego antes de tiempo!!!          ,5.0
linio,belleza,32800.0,            bueno y rapido          ,5.0
linio,belleza,44790.0,            o          ,5.0
linio,belleza,50400.0,            Llego dentro de la fecha estipulada          ,5.0
linio,belleza,18990.0,            antes del tiempo indicado          ,5.0
linio,belleza,34990.0,            Buen producto          ,5.0
linio,belleza,29990.0,"            Olor super rico y duradero, cumple con la descripcion          ",3.0
linio,belleza,49990.0,            Bueno rico el olor todo bien un poco lento el envio          ,5.0
linio,belleza,36490.0,"            Llego el producto que compre, rapido y en perfecto estado          ",5.0
linio,belleza,82000.0,            al parecer es imitacion          ,5.0
linio,belleza,24990.0,"            Excelente perfume, el envio fue super rapido          ",5.0
linio,belleza,12990.0,            Llego antes de lo esperado!          ,5.0
linio,belleza,96000.0,            Muy buenos perfumes y llego muy rapido Gracias          ,5.0
linio,belleza,21990.0,"            su aroma exquisito, feliz con mi compra          ",5.0
linio,belleza,29990.0,            Excelente! Llego en super buen estado          ,5.0
linio,belleza,22990.0,            Todo bien muchas gracias          ,5.0
linio,belleza,51500.0,            Todo excelente por el servicio y despacho  Me llego mas rapido de lo que me hayas informado y muy feliz por habia comprado este perfume que ha sido mi gusto desde el ano 2000          ,5.0
linio,belleza,37490.0,            El producto es una imitacion Caja asi como tambien la botella de vidrio no dice en ningun lugar Givenchy          ,5.0
linio,belleza,45990.0,            Excelente fragancia          ,5.0
linio,belleza,40990.0,            Lo compre a muy buen precio y llego a vina super rapido          ,5.0
linio,belleza,64599.0,            llego super rapido          ,5.0
linio,belleza,36999.0,            Excelente          ,5.0
linio,belleza,25990.0,            Buen producto          ,5.0
linio,belleza,31990.0,            Buen aroma          ,5.0
linio,belleza,32790.0,            El olor del perfume no corresponde al original anos usandolo  y tengo otro para comparar No tengo duda          ,5.0
linio,belleza,42700.0,            Excelente          ,5.0
linio,belleza,30600.0,            me encanto          ,5.0
linio,belleza,58490.0,            me encanto!!!          ,5.0
linio,belleza,25500.0,            buen producto buen precio          ,5.0
linio,belleza,49490.0,"            Excelente el perfume , pero no llego en el tiempo indicado           ",5.0
linio,belleza,51890.0,"            bueno y llego en su tiempo, la fragancia excelente          ",5.0
linio,belleza,31990.0,            Una maravilla de perfume          ,5.0
linio,belleza,52490.0,            Es lo que buscaba en fragancia          ,5.0
linio,belleza,49490.0,            oportuno y buen precio          ,5.0
linio,tecnologia,559990.0,"            Llego incluso antes de lo estipulado, producto cumple con todo lo prometido No trae accesorios, todo impecable          ",5.0
linio,tecnologia,499990.0,            La Pantalla Estaba Muy Rayada Se Que Es Un Producto Que No Es Nuevo Pero Tampoco Es La Idea Que La Pantalla Venga Completamente Rayada          ,5.0
linio,tecnologia,69990.0,            llegi en buena fecha          ,5.0
linio,tecnologia,189990.0,            Todo bien          ,3.0
linio,tecnologia,944990.0,            Bueno bueno bueno excelente servicio          ,5.0
linio,tecnologia,239990.0,"            Excelente telefono, buena relacion precio CalidadGratamente sorprendido por su desempeno          ",5.0
linio,tecnologia,84990.0,"            Es genial, buen peso, calidad del mouse y cambiar los botones es genial          ",5.0
linio,tecnologia,549990.0,            excelente servicio          ,5.0
linio,tecnologia,9990.0,            Llego bien pero no tan bien no llego el dia que decia que iba a llegar llego dos dias mas tarde pero llego y todo bien          ,5.0
linio,hogar,494990.0,            El colchon es maravilloso una calidad increible para dormir d ela mejor manera Lo recomiendo          ,5.0
linio,hogar,329990.0,"            cama comoda, llega en la fecha que indicaron, todo bien envuelto y limpio, la cama en si es comoda, se adapta a tu cuerpo y es larga! q es lo que mas me importaba, la base es firme y no suena nada, lo que si podrian colocar instrucciones para el armado, hay personas que no sabran donde colocar todas las piezas :)          ",5.0
linio,hogar,109990.0,            No cumplen          ,5.0
linio,hogar,72990.0,"            excelente producto, el pan que muy rico, ademas que es muy silenciosa          ",5.0
linio,hogar,389990.0,            compre el viernes y ya el lunes en la manana me entregaron          ,5.0
linio,hogar,369990.0,            impecable producto cumple con la comodidad de tener los alimentos mas a la mano y el Freezer abajo el cual no se ocupa tanto en si la temperatura es la normal y trae un modo vacaciones ideal para ahorrar energia es muy silencioso tambien en general excelente producto          ,5.0
linio,hogar,419990.0,"            Llego muy rapido, en excelentes condiciones, mucho antes del tiempo estimado de entrega Linio me resulta muy confiable Gracias          ",5.0
linio,hogar,291900.0,"            lo ame, limpia perfectamente, decia que tardaria 1 mes en llegar  y se demoro 2 meses, pero vale la pena la espera, me gustaria saber que mopas puedo comprar para este modelo y piezas de repuesto          ",5.0
linio,hogar,309990.0,            todo lo esperado          ,5.0
linio,hogar,329990.0,            Muy buena compra          ,5.0
linio,hogar,329990.0,"            Llega en buen estado, funciona perfectamente, unico problema esque las bandejas del horno son un poco tostas al ingresarlas y se raspa las paredes internas de la cocina          ",5.0
linio,hogar,69990.0,            Increible          ,5.0
linio,hogar,501980.0,"            Es excelente, super facil de utilizar Costo engancharla con Gmail pero resulto altiro con Hotmail y la conectamos a Alexa Es perfecta          ",5.0
linio,hogar,501980.0,            Excelente          ,5.0
linio,hogar,219990.0,"            Es la mejor, amo su gran trabajo, para mantener el aseo es pulenta          ",5.0
linio,tecnologia,12880.0,"            Buen producto, cumple plenamente laa expectativas, envio rapidoSin embargo me llamo la atencion que compre 2 productos en la misma compra y fueron enviados de forma separada, pero todo bien!          ",5.0
linio,tecnologia,219990.0,            excelente calidad          ,5.0
linio,tecnologia,20990.0,"            Todo super bien, los audifonos son excelentes          ",5.0
linio,tecnologia,139990.0,            excelente          ,5.0
linio,tecnologia,142990.0,            Oportuna y buena entrega del producto          ,5.0
linio,videojuegos,84990.0,"            Es genial, buen peso, calidad del mouse y cambiar los botones es genial          ",5.0
linio,videojuegos,549990.0,            excelente servicio          ,5.0
linio,belleza,43800.0,            producto bueno          ,5.0
linio,belleza,44790.0,            exquisito!          ,5.0
linio,belleza,29990.0,"            es buen perfume, pero su aroma no fue de mi gusto          ",5.0
linio,belleza,82000.0,            excelente          ,1.0
linio,belleza,24990.0,            producto llego en excelentes condiciones a la altura de la marca          ,5.0
linio,belleza,29870.0,            Excelente          ,5.0
linio,belleza,21990.0,            Excelente perfume          ,5.0
linio,belleza,18990.0,            Gracias entrega suuuper rapida          ,5.0
linio,belleza,54800.0,"            Impk , todo bien muchas gracias          ",5.0
linio,belleza,73500.0,            Excelente          ,5.0
linio,belleza,64999.0,"            Llego super rapido, el olor es increible, el tamano igual Recomiendo mucho al vendedor, ademas venia incluida una muestra de un perfume Detalles que marcan la diferencia;)          ",5.0
linio,belleza,33940.0,            excelente          ,3.0
linio,belleza,31500.0,"            Claramente era un producto de mala calidad, 0 fijacion Ni idea como se llama la tienda a la que se lo compre, pero vende malos productos          ",5.0
linio,belleza,44999.0,            Entrega super rapida!          ,5.0
linio,belleza,45990.0,            super bien          ,5.0
linio,belleza,51999.0,            Todo ok muy rapido          ,5.0
linio,belleza,36999.0,            rapida entrega          ,5.0
linio,belleza,32790.0,            excelente          ,1.0
linio,belleza,30600.0,            Muy bien          ,5.0
linio,belleza,59990.0,"            Llego muy rapido, gracias!!!!          ",5.0
linio,belleza,49490.0,            Llego muy rapido          ,5.0
linio,tecnologia,559990.0,"            Venia en perfecto estado Hubiese sido genial que trajera al menos el cargador, pero lo demas ok          ",5.0
